Name,Sample name,Site,Outing,HAT,Phycocyanin_ugL,ChlaugL,Total_MC_ppb,Aq_MC_ppb,Microcysits_counts
C1,LOP21-123-1-0,1,0,0,25,16.84631745,12.56990541,15.42236129,12250.00
C2,LOP21-123-2-0,2,0,0,13,8.806690516,1.679,2.058509075,6900.00
C3,LOP21-123-3-0,3,0,0,74,34.03641611,46.90069662,20.99258814,65000.00
C4,LOP21-123-4-0,4,0,0,532,142.0567547,197.2558632,3.64457715,460000.00
C5,LOP21-123-1-4,1,1,4,5,1.292771221,3.565924779,10.47714471,100.00
C6,LOP21-123-2-4,2,1,4,7,0,7.194935251,15.60948353,100.00
C7,LOP21-123-3-4,3,1,4,10,0,8.230105028,11.74732277,100.00
C8,LOP21-123-4-4,4,1,4,21,5.402624171,27.95601166,29.08853942,100.00
C9,LOP21-124-1-24,1,2,24,6.5,0,2.789841425,4.262572663,100.00
C10,LOP21-124-2-24,2,2,24,4.5,0,4.246816434,4.202739405,100.00
C11,LOP21-124-3-24,3,2,24,10.5,1.401924359,9.293062323,15.8697733,808.00
C12,LOP21-124-4-24,4,2,24,20.5,5.744320952,10.79048594,9.390180425,3280.00
C13,LOP21-125-1-48,1,3,48,7,0,1.262169667,1.023642581,100.00
C14,LOP21-125-2-48,2,3,48,10,1.763628625,1.495929215,1.109,100.00
C15,LOP21-125-3-48,3,3,48,8,1.869804003,13.35244015,20.69105041,100.00
C16,LOP21-125-4-48,4,3,48,19,2.825382408,18.34458259,19.98195224,100.00
